"n","n_mod_13","n_mod_64","S_n_cyclic","T_n_2_s","T_bits","T_bits_2_T_n","n__6_bits","real_n","n_x","n_y","n_z","f_n","real_f_n","p_n","real_p_n","log(p_n)","a","b","c","test_prime","p_mod_78","state","p_n"
50,11,50,10,1,"1","1","110010",0.96078431372549,110010.960784314,8.73353261234754E-06,8.73353261234754E-06,12586269025,0.999999997934257,263,0.905797101449275,2.41995574848976,0,1.89889473620242E-08,1,263,29,"success",263
51,12,51,5,9,"1001","9","110011",0.961538461538462,110011.961538462,8.74030830913142E-06,8.74030830913142E-06,20365011074,0.9999999987233,269,0.907801418439716,2.42975228000241,1,1.0017180902025E-08,0,269,35,"success",269
52,0,52,0,0,"0","0","110100",0.962264150943396,110100.962264151,8.73983415907629E-06,8.73983415907629E-06,32951280099,0.999999999210956,271,0.908450704225352,2.43296929087441,0,7.82974134008924E-09,1,271,37,"success",271
53,1,53,8,9,"1001","9","110101",0.962962962962963,110101.962962963,8.74610167746866E-06,8.74610167746866E-06,53316291173,0.999999999512344,277,0.910344827586207,2.44247976906445,1,3.88249061301599E-09,0,277,43,"success",277
54,2,54,3,1,"1","1","110110",0.963636363636364,110110.963636364,8.75150241004818E-06,8.75150241004818E-06,86267571272,0.999999999698612,281,0.91156462585034,2.44870631990508,0,3.06024611690543E-09,1,281,47,"success",281
55,3,55,11,8,"1000","8","110111",0.964285714285714,110111.964285714,8.75732006545286E-06,8.75732006545286E-06,139583862445,0.999999999813732,283,0.912162162162162,2.45178643552429,1,1.49730775706505E-09,0,283,49,"success",283
56,4,56,6,2,"10","2","111000",0.964912280701754,111000.964912281,8.69282786383238E-06,8.69282786383238E-06,225851433717,0.99999999988488,293,0.915032679738562,2.46686762035411,0,1.20433151795187E-09,1,293,59,"success",293
57,5,57,1,4,"100","4","111001",0.96551724137931,111001.965517241,8.69819950376772E-06,8.69819950376772E-06,365435296162,0.999999999928852,307,0.91875,2.48713837547719,1,6.70433323143996E-10,0,307,73,"success",307
58,6,58,9,15,"1111","F","111010",0.966101694915254,111010.966101695,8.70275909526116E-06,8.70275909526116E-06,591286729879,0.999999999956028,311,0.919753086419753,2.49276038902684,0,4.63396159856439E-10,1,311,77,"success",311
59,7,59,4,3,"11","3","111011",0.966666666666667,111011.966666667,8.70776994312025E-06,8.70776994312025E-06,956722026041,0.999999999972824,313,0.920245398773006,2.49554433754645,1,2.58173213615775E-10,0,313,1,"success",313
60,8,60,12,4,"100","4","111100",0.967213114754098,111100.967213115,8.70571282155251E-06,8.70571282155251E-06,1548008755920,0.999999999983204,317,0.921212121212121,2.50105926221775,0,1.8604545930287E-10,1,317,5,"success",317
61,9,61,7,14,"1110","E","111101",0.967741935483871,111101.967741935,8.7103942005034E-06,8.7103942005034E-06,2504730781961,0.99999999998962,331,0.924418604651163,2.51982799377572,1,9.94118816254789E-11,0,331,19,"success",331
62,10,62,2,8,"1000","8","111110",0.968253968253968,111110.968253968,8.71429691838175E-06,8.71429691838175E-06,4052739537881,0.999999999993585,337,0.925714285714286,2.52762990087134,0,7.74784555151E-11,1,337,25,"success",337
63,11,63,10,1,"1","1","111111",0.96875,111111.96875,8.71868270266789E-06,8.71868270266789E-06,6557470319842,0.999999999996035,347,0.927777777777778,2.54032947479087,1,4.16319078370724E-11,0,347,35,"success",347
64,12,0,5,9,"1001","9","1000000",0.969230769230769,1000000.96923077,9.69229829823396E-07,9.69229829823396E-07,10610209857723,0.99999999999755,349,0.92817679558011,2.54282542695918,0,3.0348127352601E-11,1,349,37,"success",349
65,0,1,0,0,"0","0","1000001",0.96969696969697,1000001.96969697,9.69695059691549E-07,9.69695059691549E-07,17167680177565,0.999999999998486,353,0.92896174863388,2.54777470538782,1,1.67757086001848E-11,0,353,41,"success",353
66,1,2,8,9,"1001","9","1000010",0.970149253731343,1000010.97014925,9.70138611165982E-07,9.70138611165982E-07,27777890035288,0.999999999999064,359,0.93010752688172,2.55509444857832,0,1.18439521353872E-11,1,359,47,"success",359
67,2,3,3,1,"1","1","1000011",0.970588235294118,1000011.97058824,9.70576616921086E-07,9.70576616921086E-07,44945570212853,0.999999999999421,367,0.931578947368421,2.56466606425209,1,6.58574356934854E-12,0,367,55,"success",367
68,3,4,11,8,"1000","8","1000100",0.971014492753623,1000100.97101449,9.70916458333837E-07,9.70916458333837E-07,72723460248141,0.999999999999642,373,0.932642487046632,2.57170883180869,0,4.68899580460649E-12,1,373,61,"success",373
69,4,5,6,2,"10","2","1000101",0.971428571428571,1000101.97142857,9.71329523569439E-07,9.71329523569439E-07,117669030460994,0.999999999999779,379,0.933673469387755,2.57863920996807,1,2.56652067937374E-12,0,379,67,"success",379
70,5,6,1,4,"100","4","1000110",0.971830985915493,1000110.97183099,9.71723152018102E-07,9.71723152018102E-07,190392490709135,0.999999999999863,383,0.934343434343434,2.58319877396862,0,1.91709241599037E-12,1,383,71,"success",383
71,6,7,9,15,"1111","F","1000111",0.972222222222222,1000111.97222222,9.72113372527648E-07,9.72113372527648E-07,308061521170129,0.999999999999916,389,0.935323383084577,2.58994960132571,1,9.54354827838549E-13,0,389,77,"success",389
72,7,8,4,3,"11","3","1001000",0.972602739726027,1001000.97260274,9.71630164551316E-07,9.71630164551316E-07,498454011879264,0.999999999999948,397,0.936585365853659,2.59879050676312,0,7.56338580922722E-13,1,397,7,"success",397
73,8,9,12,4,"100","4","1001001",0.972972972972973,1001001.97297297,9.71999056188917E-07,9.71999056188917E-07,806515533049393,0.999999999999968,401,0.93719806763285,2.60314437262018,1,3.8684933794188E-13,0,401,11,"success",401
74,9,10,7,14,"1110","E","1001010",0.973333333333333,1001010.97333333,9.72350313096135E-07,9.72350313096135E-07,1304969544928657,0.99999999999998,409,0.938388625592417,2.61172330800734,0,2.8736302809312E-13,1,409,19,"success",409
75,10,11,2,8,"1000","8","1001011",0.973684210526316,1001011.97368421,9.72699863861453E-07,9.72699863861453E-07,2111485077978050,0.999999999999988,419,0.939814814814815,2.6222140229663,1,1.5818250551874E-13,0,419,29,"success",419
76,11,12,10,1,"1","1","1001100",0.974025974025974,1001100.97402597,9.72954776089053E-07,9.72954776089053E-07,3416454622906707,0.999999999999992,421,0.940092165898617,2.62428209583567,0,1.16202333652608E-13,1,421,31,"success",421
77,12,13,5,9,"1001","9","1001101",0.974358974358974,1001101.97435897,9.73286437660735E-07,9.73286437660735E-07,5527939700884757,0.999999999999995,431,0.941441441441441,2.63447727016073,1,6.15057360241434E-14,0,431,41,"success",431
78,0,14,0,0,"0","0","1001110",0.974683544303797,1001110.97468354,9.73601897244109E-07,9.73601897244109E-07,8944394323791464,0.999999999999997,433,0.941704035874439,2.63648789635336,0,4.69567848638817E-14,1,433,43,"success",433
79,1,15,8,9,"1001","9","1001111",0.975,1001111.975,9.73917028612109E-07,9.73917028612109E-07,1.44723340246762E+016,0.999999999999998,439,0.942477876106195,2.64246452024212,1,2.37003927227746E-14,0,439,49,"success",439
80,2,16,3,1,"1","1","1010000",0.975308641975309,1010000.97530864,9.65651188284514E-07,9.65651188284514E-07,2.34167283484677E+016,0.999999999999999,443,0.942982456140351,2.64640372622307,0,1.8192122898666E-14,1,443,53,"success",443
81,3,17,11,8,"1000","8","1010001",0.975609756097561,1010001.97560976,9.65948364119356E-07,9.65948364119356E-07,3.78890623731439E+016,0.999999999999999,449,0.943722943722944,2.65224634100332,1,9.21110151956081E-15,0,449,59,"success",449
82,4,18,6,2,"10","2","1010010",0.975903614457831,1010010.97590361,9.66230702180966E-07,9.66230702180966E-07,6.13057907216116E+016,1,457,0.94468085106383,2.65991620006985,0,7.11188934793889E-15,1,457,67,"success",457
83,5,19,1,4,"100","4","1010011",0.976190476190476,1010011.97619048,9.66513763403513E-07,9.66513763403513E-07,9.91948530947555E+016,1,461,0.945147679324895,2.66370092538965,1,3.7602757437797E-15,0,461,71,"success",461
84,6,20,9,15,"1111","F","1010100",0.976470588235294,1010100.97647059,9.66705914538562E-07,9.66705914538562E-07,1.60500643816367E+017,1,463,0.945378151260504,2.66558099101795,0,2.65419496065946E-15,1,463,73,"success",463
85,7,21,4,3,"11","3","1010101",0.976744186046512,1010101.97674419,9.66975818812676E-07,9.66975818812676E-07,2.59695496911123E+017,1,467,0.945833333333333,2.66931688056611,1,1.44399885427485E-15,0,467,77,"success",467
86,8,22,12,4,"100","4","1010110",0.977011494252874,1010110.97701149,9.67231835400355E-07,9.67231835400355E-07,4.2019614072749E+017,1,479,0.947154471544715,2.68033551341456,0,1.07092844598932E-15,1,479,11,"success",479
87,9,23,7,14,"1110","E","1010111",0.977272727272727,1010111.97727273,9.67489495482803E-07,9.67489495482803E-07,6.79891637638612E+017,1,487,0.948,2.68752896121463,1,5.57441773098337E-16,0,487,19,"success",487
88,10,24,2,8,"1000","8","1011000",0.97752808988764,1011000.97752809,9.66891339984368E-07,9.66891339984368E-07,1.1000877783661E+018,1,491,0.948412698412698,2.69108149212297,0,4.25420597522767E-16,1,491,23,"success",491
89,11,25,10,1,"1","1","1011001",0.977777777777778,1011001.97777778,9.67137354099912E-07,9.67137354099912E-07,1.77997941600471E+018,1,499,0.94921875,2.69810054562339,1,2.241598955653E-16,0,499,31,"success",499
90,12,26,5,9,"1001","9","1011010",0.978021978021978,1011010.97802198,9.67370285073915E-07,9.67370285073915E-07,2.88006719437082E+018,1,503,0.949612403100775,2.70156798505593,0,1.65273921709312E-16,1,503,35,"success",503
91,0,27,0,0,"0","0","1011011",0.978260869565217,1011011.97826087,9.67605617539774E-07,9.67605617539774E-07,4.66004661037553E+018,1,509,0.950191570881226,2.70671778233676,1,8.96986736289995E-17,0,509,41,"success",509
92,1,28,8,9,"1001","9","1011100",0.978494623655914,1011100.97849462,9.67751633583368E-07,9.67751633583368E-07,7.54011380474635E+018,1,521,0.951310861423221,2.71683772329952,0,6.51183805330532E-17,1,521,53,"success",521
93,2,29,3,1,"1","1","1011101",0.978723404255319,1011101.9787234,9.67976944809301E-07,9.67976944809301E-07,1.22001604151219E+019,1,523,0.951492537313433,2.71850168886727,1,3.49175736633742E-17,0,523,55,"success",523
94,3,30,11,8,"1000","8","1011110",0.978947368421053,1011110.97894737,9.68189831585253E-07,9.68189831585253E-07,1.97402742198682E+019,1,541,0.953068592057762,2.73319726510657,0,2.57848495076984E-17,1,541,73,"success",541
95,4,31,6,2,"10","2","1011111",0.979166666666667,1011111.97916667,9.68405762014284E-07,9.68405762014284E-07,3.19404346349901E+019,1,547,0.953571428571429,2.73798732633343,1,1.39008753347898E-17,0,547,1,"success",547
96,5,32,1,4,"100","4","1100000",0.979381443298969,1100000.97938144,8.90345973918767E-07,8.90345973918767E-07,5.16807088548583E+019,1,557,0.954385964912281,2.74585519517373,0,1.04294235110773E-17,1,557,11,"success",557
97,6,33,9,15,"1111","F","1100001",0.979591836734694,1100001.97959184,8.90536430760041E-07,8.90536430760041E-07,8.36211434898484E+019,1,563,0.954861111111111,2.75050839485135,1,5.28574450854835E-18,0,563,17,"success",563
98,7,34,4,3,"11","3","1100010",0.97979797979798,1100010.97979798,8.90716545372958E-07,8.90716545372958E-07,1.35301852344707E+020,1,569,0.9553264604811,2.75511226639507,0,4.05759411631202E-18,1,569,23,"success",569
99,8,35,12,4,"100","4","1100011",0.98,1100011.98,8.90899388204845E-07,8.90899388204845E-07,2.18922995834555E+020,1,571,0.955479452054795,2.75663610824585,1,2.08292417277447E-18,0,571,25,"success",571
100,9,36,7,14,"1110","E","1100100",0.98019801980198,1100100.98019802,8.91007314279043E-07,8.91007314279043E-07,3.54224848179262E+020,1,577,0.95593220338983,2.76117581315573,0,1.53292464600113E-18,1,577,31,"success",577
101,10,37,2,8,"1000","8","1100101",0.980392156862745,1100101.98039216,8.91182976066693E-07,8.91182976066693E-07,5.73147844013817E+020,1,587,0.956666666666667,2.76863810124761,1,8.30501248450173E-19,0,587,41,"success",587
102,11,38,10,1,"1","1","1100110",0.980582524271845,1100110.98058252,8.91348728973337E-07,8.91348728973337E-07,9.27372692193079E+020,1,593,0.957095709570957,2.77305469336426,0,6.13561305815908E-19,1,593,47,"success",593
103,12,39,5,9,"1001","9","1100111",0.980769230769231,1100111.98076923,8.91517634489762E-07,8.91517634489762E-07,1.5005205362069E+021,1,599,0.957516339869281,2.77742682238931,1,3.21221861593729E-19,0,599,53,"success",599
104,0,40,0,0,"0","0","1101000",0.980952380952381,1101000.98095238,8.90964129844683E-07,8.90964129844683E-07,2.42789322839998E+021,1,601,0.957654723127036,2.77887447200274,0,2.42185279452137E-19,1,601,55,"success",601
105,1,41,8,9,"1001","9","1101001",0.981132075471698,1101001.98113208,8.91126530456263E-07,8.91126530456263E-07,3.92841376460687E+021,1,607,0.958064516129032,2.78318869107526,1,1.23459500210904E-19,0,607,61,"success",607
106,2,42,3,1,"1","1","1101010",0.981308411214953,1101010.98130841,8.91279403997219E-07,8.91279403997219E-07,6.35630699300685E+021,1,613,0.958466453674121,2.78746047451841,0,9.37651376271967E-20,1,613,67,"success",613
107,3,43,11,8,"1000","8","1101011",0.981481481481482,1101011.98148148,8.91435786339796E-07,8.91435786339796E-07,1.02847207576137E+022,1,617,0.958730158730159,2.79028516403324,1,4.77407225311893E-20,0,617,71,"success",617
108,4,44,6,2,"10","2","1101100",0.981651376146789,1101100.98165138,8.91518028323394E-07,8.91518028323394E-07,1.66410277506206E+022,1,619,0.958860759493671,2.79169064902012,0,3.59352804983875E-20,1,619,73,"success",619
109,5,45,1,4,"100","4","1101101",0.981818181818182,1101101.98181818,8.91668708285282E-07,8.91668708285282E-07,2.69257485082343E+022,1,631,0.959627329192547,2.80002935924413,1,1.92009518265349E-20,0,631,7,"success",631
110,6,46,9,15,"1111","F","1101110",0.981981981981982,1101110.98198198,8.9181017903793E-07,8.9181017903793E-07,4.35667762588549E+022,1,641,0.960244648318043,2.80685802951882,0,1.38637753780839E-20,1,641,17,"success",641
111,7,47,4,3,"11","3","1101111",0.982142857142857,1101111.98214286,8.91955471442173E-07,8.91955471442173E-07,7.04925247670891E+022,1,643,0.960365853658537,2.80821097292422,1,7.44759819193066E-21,0,643,19,"success",643
112,8,48,12,4,"100","4","1110000",0.982300884955752,1110000.98230089,8.84954969066399E-07,8.84954969066399E-07,1.14059301025944E+023,1,647,0.960606060606061,2.8109042806687,0,5.41823415049185E-21,1,647,23,"success",647
113,9,49,7,14,"1110","E","1110001",0.982456140350877,1110001.98245614,8.85094041162847E-07,8.85094041162847E-07,1.84551825793033E+023,1,653,0.960960960960961,2.81491318127507,1,2.81221818191079E-21,0,653,29,"success",653
114,10,50,2,8,"1000","8","1110010",0.982608695652174,1110010.9826087,8.85224300522589E-07,8.85224300522589E-07,2.98611126818977E+023,1,659,0.961309523809524,2.81888541459401,0,2.12986035307905E-21,1,659,35,"success",659
115,11,51,10,1,"1","1","1110011",0.982758620689655,1110011.98275862,8.85358569055522E-07,8.85358569055522E-07,4.8316295261201E+023,1,661,0.961424332344214,2.82020145948564,1,1.10728688345776E-21,0,661,37,"success",661
116,12,52,5,9,"1001","9","1110100",0.982905982905983,1110100.98290598,8.85420333862751E-07,8.85420333862751E-07,7.81774079430987E+023,1,673,0.962099125364431,2.82801506422398,0,8.26325682824109E-22,1,673,49,"success",673
117,0,53,0,0,"0","0","1110101",0.983050847457627,1110101.98305085,8.85550032760007E-07,8.85550032760007E-07,1.264937032043E+024,1,677,0.96231884057971,2.83058866868514,1,4.42709783818681E-22,0,677,53,"success",677
118,1,54,8,9,"1001","9","1110110",0.983193277310924,1110110.98319328,8.85671155583679E-07,8.85671155583679E-07,2.04671111147399E+024,1,683,0.96264367816092,2.83442070368153,0,3.19048446231245E-22,1,683,59,"success",683
119,2,55,3,1,"1","1","1110111",0.983333333333333,1110111.98333333,8.85796521519098E-07,8.85796521519098E-07,3.31164814351698E+024,1,691,0.963068181818182,2.8394780473742,1,1.71515805841855E-22,0,691,67,"success",691
120,3,56,11,8,"1000","8","1111000",0.983471074380165,1111000.98347107,8.85211704590512E-07,8.85211704590512E-07,5.35835925499097E+024,1,701,0.963585434173669,2.84571801796666,0,1.24851651067791E-22,1,701,77,"success",701
121,4,57,6,2,"10","2","1111001",0.983606557377049,1111001.98360656,8.85332854387933E-07,8.85332854387933E-07,8.67000739850795E+024,1,709,0.96398891966759,2.85064623518307,1,6.68972900876433E-23,0,709,7,"success",709
122,5,58,1,4,"100","4","1111010",0.983739837398374,1111010.98373984,8.85445645268917E-07,8.85445645268917E-07,1.40283666534989E+025,1,719,0.96448087431694,2.85672889038288,0,4.99701795165981E-23,1,719,17,"success",719
123,6,59,9,15,"1111","F","1111011",0.983870967741935,1111011.98387097,8.85562876031229E-07,8.85562876031229E-07,2.26983740520069E+025,1,727,0.964864864864865,2.86153441085904,1,2.55524910582183E-23,0,727,25,"success",727
124,7,60,4,3,"11","3","1111100",0.984,1111100.984,8.8560807178621E-07,8.8560807178621E-07,3.67267407055058E+025,1,733,0.96514745308311,2.86510397464113,0,1.94136475577075E-23,1,733,31,"success",733
125,8,61,12,4,"100","4","1111101",0.984126984126984,1111101.98412698,8.85721561284253E-07,8.85721561284253E-07,5.94251147575127E+025,1,739,0.965425531914894,2.86864443839483,1,1.00630853207465E-23,0,739,37,"success",739
126,9,62,7,14,"1110","E","1111110",0.984251968503937,1111110.98425197,8.85826872791257E-07,8.85826872791257E-07,9.61518554630184E+025,1,743,0.965608465608466,2.87098881376057,0,7.37375266016258E-24,1,743,41,"success",743
